Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Power Plays,Player Load,Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),game_type,playing position
44385,U23 Vs Meden 1st team 08072021,Player 3,all, game,44385.43989,44385.49441,4710,6.4567,49,264.8964,0.628,0.1102,home,FW
44385,U23 Vs Meden 1st team 08072021,Player 1,all, game,44385.43996,44385.49412,4679,8.9441,80,385.4149,1.0088,0.0224,home,MF
44385,U23 Vs Meden 1st team 08072021,Player 35,all, game,44385.4392,44385.49406,4741,7.5085,37,348.4295,0.4298,0.0421,home,MF
44385,U23 Vs Meden 1st team 08072021,Player 36,all, game,44385.43822,44385.49434,4849,7.6324,47,364.5833,0.6933,0.0935,home,FB
44385,U23 Vs Meden 1st team 08072021,Player 43,all, game,44385.43727,44385.49398,4899,6.6863,34,311.9252,0.4252,0.1246,home,CB
44385,U23 Vs Meden 1st team 08072021,Player 45,all, game,44385.43857,44385.49388,4779,8.9805,70,405.7425,1.1051,0.2163,home,FW
44385,U23 Vs Meden 1st team 08072021,Player 62,all, game,44385.44058,44385.49419,4631,7.7821,55,361.9469,0.6232,0.0494,home,MF
44385,U23 Vs Meden 1st team 08072021,Player 56,all, game,44385.43753,44385.49388,4869,7.4181,39,314.8768,0.5633,0.1539,home,CB
44385,U23 Vs Meden 1st team 08072021,Player 19,all, game,44385.43832,44385.49423,4831,7.7966,65,343.6798,0.7032,0.16,home,FW
44385,U23 Vs Meden 1st team 08072021,Player 3,game, game,44385.44167,44385.48724,3937,6.1793,49,250.1885,0.6275,0.1102,home,FW
44385,U23 Vs Meden 1st team 08072021,Player 1,game, game,44385.44173,44385.48742,3947,8.6834,79,370.4756,1.0088,0.0224,home,MF
44385,U23 Vs Meden 1st team 08072021,Player 35,game, game,44385.44165,44385.4872,3936,7.2563,36,332.9436,0.4256,0.0421,home,MF
44385,U23 Vs Meden 1st team 08072021,Player 36,game, game,44385.44173,44385.48742,3947,7.3361,47,347.5202,0.6933,0.0935,home,FB
44385,U23 Vs Meden 1st team 08072021,Player 43,game, game,44385.44173,44385.48742,3947,6.4437,34,298.2097,0.4252,0.1246,home,CB
44385,U23 Vs Meden 1st team 08072021,Player 45,game, game,44385.44173,44385.48742,3947,8.6215,70,387.5152,1.1051,0.2163,home,FW
44385,U23 Vs Meden 1st team 08072021,Player 62,game, game,44385.44173,44385.48742,3947,7.6039,55,351.9441,0.6232,0.0494,home,MF
44385,U23 Vs Meden 1st team 08072021,Player 56,game, game,44385.44164,44385.48715,3933,7.1057,39,296.0957,0.5633,0.1539,home,CB
44385,U23 Vs Meden 1st team 08072021,Player 19,game, game,44385.44173,44385.48742,3947,7.5267,65,329.2697,0.7032,0.16,home,FW
44385,U23 Vs Meden 1st team 08072021,Player 3,1st.quarter, game,44385.44167,44385.48724,3937,6.1793,49,250.1885,0.6275,0.1102,home,FW
44385,U23 Vs Meden 1st team 08072021,Player 1,1st.quarter, game,44385.44173,44385.48742,3947,8.6834,79,370.4756,1.0088,0.0224,home,MF
44385,U23 Vs Meden 1st team 08072021,Player 35,1st.quarter, game,44385.44165,44385.4872,3936,7.2563,36,332.9436,0.4256,0.0421,home,MF
44385,U23 Vs Meden 1st team 08072021,Player 36,1st.quarter, game,44385.44173,44385.48742,3947,7.3361,47,347.5202,0.6933,0.0935,home,FB
44385,U23 Vs Meden 1st team 08072021,Player 43,1st.quarter, game,44385.44173,44385.48742,3947,6.4437,34,298.2097,0.4252,0.1246,home,CB
44385,U23 Vs Meden 1st team 08072021,Player 45,1st.quarter, game,44385.44173,44385.48742,3947,8.6215,70,387.5152,1.1051,0.2163,home,FW
44385,U23 Vs Meden 1st team 08072021,Player 62,1st.quarter, game,44385.44173,44385.48742,3947,7.6039,55,351.9441,0.6232,0.0494,home,MF
